,WaveNumber
1629,1313.2118
1630,1313.8953
1631,1314.5786
1632,1315.262
1633,1315.9453
1634,1316.6287
1635,1317.3121
1636,1317.9955
1637,1318.6788
1638,1319.3622
1639,1320.0455
1640,1320.7289
1641,1321.4124
1642,1322.0957
1643,1322.7791
1644,1323.4624
1645,1324.1458
1646,1324.8291
1647,1325.5126
1648,1326.1959
1649,1326.8793
1650,1327.5626
1651,1328.246
1652,1328.9294
1653,1329.6128
1654,1330.2961
1655,1330.9795
1656,1331.6628
1657,1332.3462
1658,1333.0297
1659,1333.713
1660,1334.3964
1661,1335.0797
1662,1335.7631
1663,1336.4464
1664,1337.1299
1665,1337.8132
1694,1357.631
1695,1358.3143
1696,1358.9977
1697,1359.6812
1698,1360.3645
1699,1361.0479
1700,1361.7312
1701,1362.4146
1702,1363.0979
1703,1363.7814
1796,1427.3348
1797,1428.0182
1798,1428.7015
1799,1429.385
1800,1430.0684
1801,1430.7517
1802,1431.4351
1803,1432.1184
1804,1432.8019
1805,1433.4852
1806,1434.1686
1807,1434.8519
1808,1435.5353
1809,1436.2186
1810,1436.9021
1811,1437.5854
1812,1438.2688
1813,1438.9521
1814,1439.6355
1815,1440.3188
1816,1441.0023
1817,1441.6857
1818,1442.369
1819,1443.0524
1820,1443.7357
1821,1444.4192
1822,1445.1025
1823,1445.7859
1824,1446.4692
1825,1447.1526
1826,1447.8359
1827,1448.5194
1828,1449.2028
1829,1449.8861
1830,1450.5695
1831,1451.2528
1832,1451.9363
1833,1452.6196
1834,1453.303
1835,1453.9863
1836,1454.6697
1837,1455.353
1838,1456.0365
1839,1456.7198
1840,1457.4032
1841,1458.0865
1842,1458.7699
1843,1459.4532
1844,1460.1367
1845,1460.8201
1846,1461.5034
1847,1462.1868
1848,1462.8701
1849,1463.5536
1850,1464.2369
1851,1464.9203
1852,1465.6036
1853,1466.287
1854,1466.9703
1855,1467.6538
1856,1468.3372
1857,1469.0205
1858,1469.7039
1859,1470.3872
1860,1471.0706
1861,1471.754
1862,1472.4374
1863,1473.1207
1864,1473.8041
1865,1474.4874
1866,1475.1709
1867,1475.8542
1868,1476.5376
1869,1477.2209
1870,1477.9043
1871,1478.5876
1872,1479.2711
1873,1479.9545
1879,1484.0547
1880,1484.738
1881,1485.4214
1882,1486.1047
1883,1486.7882
1884,1487.4716
1885,1488.1549
1886,1488.8383
1887,1489.5216
1888,1490.205
1889,1490.8884
1890,1491.5718
1932,1520.2733
1933,1520.9567
1934,1521.6401
1935,1522.3235
1936,1523.0068
1937,1523.6902
1938,1524.3735
1939,1525.057
1940,1525.7404
1941,1526.4237
1942,1527.1071
1943,1527.7904
1944,1528.4738
1945,1529.1572
1946,1529.8406
1947,1530.5239
1948,1531.2073
1949,1531.8906
1950,1532.574
1961,1540.0911
1962,1540.7745
1963,1541.4579
1964,1542.1412
1965,1542.8246
1966,1543.5079
1967,1544.1913
1968,1544.8748
1969,1545.5581
1970,1546.2415
1971,1546.9248
1972,1547.6082
1973,1548.2916
1974,1548.975
1975,1549.6583
1976,1550.3417
1977,1551.025
1978,1551.7084
1979,1552.3918
1980,1553.0752
1981,1553.7585
1982,1554.4419
1983,1555.1252
1984,1555.8087
1985,1556.4921
1986,1557.1754
1987,1557.8588
1988,1558.5421
1989,1559.2255
1990,1559.9089
1991,1560.5923
1992,1561.2756
1993,1561.959
1994,1562.6423
1995,1563.3257
1996,1564.0092
1997,1564.6925
1998,1565.3759
1999,1566.0592
2000,1566.7426
2001,1567.426
2002,1568.1094
2003,1568.7927
2004,1569.4761
2005,1570.1594
2006,1570.8428
2007,1571.5262
2008,1572.2096
2009,1572.8929
2010,1573.5763
2011,1574.2596
2012,1574.943
2013,1575.6265
2014,1576.3098
2015,1576.9932
2016,1577.6765
2017,1578.3599
2018,1579.0433
2019,1579.7267
2020,1580.41
2021,1581.0934
2022,1581.7767
2023,1582.4601
2024,1583.1436
2025,1583.8269
2026,1584.5103
2027,1585.1936
2028,1585.877
2029,1586.5604
2030,1587.2438
2031,1587.9271
2032,1588.6105
2033,1589.2938
2034,1589.9772
2035,1590.6606
2036,1591.344
2037,1592.0273
2038,1592.7107
2039,1593.394
2040,1594.0774
2041,1594.7609
2042,1595.4442
2043,1596.1276
2044,1596.8109
2045,1597.4943
2046,1598.1777
2047,1598.8611
2048,1599.5444
2049,1600.2278
2050,1600.9111
2051,1601.5945
2065,1611.1617
2066,1611.8451
2067,1612.5284
2068,1613.2118
2069,1613.8953
2070,1614.5786
2071,1615.262
2072,1615.9453
2073,1616.6287
2074,1617.3121
2075,1617.9955
2076,1618.6788
2077,1619.3622
2078,1620.0455
2079,1620.7289
2080,1621.4124
2081,1622.0957
2082,1622.7791
2083,1623.4624
2084,1624.1458
2085,1624.8291
2086,1625.5126
2087,1626.1959
2088,1626.8793
2089,1627.5626
2090,1628.246
2091,1628.9294
2092,1629.6128
2093,1630.2961
2094,1630.9795
2095,1631.6628
2096,1632.3462
2097,1633.0297
2098,1633.713
2099,1634.3964
2100,1635.0797
2101,1635.7631
2102,1636.4464
2103,1637.1299
2104,1637.8132
2105,1638.4966
2106,1639.1799
2107,1639.8633
2108,1640.5468
2109,1641.2301
2110,1641.9135
2111,1642.5968
2112,1643.2802
2113,1643.9635
2114,1644.647
2115,1645.3303
2116,1646.0137
2117,1646.697
2118,1647.3804
2119,1648.0637
2120,1648.7472
2121,1649.4305
2122,1650.1139
2123,1650.7972
2124,1651.4806
2125,1652.1641
2126,1652.8474
